필드번호,필드명,카테고리,한글명,데이터타입,필수여부,권장선택지,설명,예시,비고
1,gender,인구통계학적 정보,성별,Enum,선택,"""Male"", ""Female"", ""Unknown""","콘텐츠에 등장하는 인물의 외형적 특징, 말투, 이름, 자기 지칭 표현 등을 기반으로 성별을 추론합니다.",,
2,age_range,인구통계학적 정보,추정 연령대,Enum,선택,"""0~4"", ""5~9"", ""10~14"", ""15~19"", ""20~24"", ""25~29"", ""30~34"", ""35~39"", ""40~44"", ""45~49"", ""50~54"", ""55~59"", ""60~64"", ""65~69"", ""70+"", ""Unknown""","사진 및 영상 속 인물의 외모, 패션 스타일, 언급되는 생활 사건, 활동 유형 등을 기반으로 연령대를 5세 단위로 추정합니다.",,
3,ethnic_category,인구통계학적 정보,인종 카테고리,Enum,선택,"""Caucasian"", ""African"", ""Asian"", ""East Asian"", ""South Asian"", ""Southeast Asian"", ""Hispanic/Latino"", ""Middle Eastern/North African (MENA)"", ""Pacific Islander"", ""Indigenous Peoples"", ""Mixed Race"", ""Unknown""",신체적 외모와 문화적으로 드러나는 특징을 종합하여 주요 인종 카테고리를 추론합니다.,,
4,ethnicity,인구통계학적 정보,민족적 정체성,LongText,선택,,인종을 넘어 국적 또는 특정 문화적 배경을 포함한 구체적인 민족적 정체성을 자연어로 서술합니다.,"""Korean American"", ""Filipino American"", ""European American""",
5,language,인구통계학적 정보,사용 언어,Array[String],선택,,"계정 주인의 게시물, 자기소개, 해시태그에서 주로 사용되는 언어를 식별합니다. ISO 639-1 코드 배열로 반환합니다.","`[""ko"", ""en""]`, `[""ja""]`",
6,region,인구통계학적 정보,주요 활동 지역,Array[String],선택,,계정 주인이 주로 거주하며 콘텐츠를 제작하는 도시 또는 지역을 추론합니다. 일시적인 여행지는 제외합니다.,"`[""Seoul"", ""Gyeonggi""]`, `[""New York""]`",
7,country,인구통계학적 정보,주요 거주 국가,Array[String],선택,,계정 주인의 주요 거주 국가를 추론합니다. 일시적인 여행지는 제외합니다. ISO 3166-1 Alpha-2 코드를 사용합니다.,"`[""KR""]`, `[""US"", ""JP""]`",
8,marital_status,인구통계학적 정보,결혼 상태,Enum,선택,"""Single"", ""In Relationship"", ""Married"", ""Unknown""",계정 주인의 결혼 상태를 추론합니다.,,
9,has_children,인구통계학적 정보,자녀 유무,Boolean,선택,"""true"", ""false""",계정 주인에게 자녀가 있는지 여부를 판단합니다.,,
10,child_age,인구통계학적 정보,자녀 연령대,Array[String],선택,"""Infants"", ""Toddlers"", ""Young Children"", ""Teens"", ""Young Adults"", ""Unknown""","계정 주인에게 자녀가 있는 경우(has_children이 true), 자녀의 연령대를 제시된 옵션 중에서 식별합니다. has_children이 false인 경우 빈 배열 []로 반환합니다.",,
11,lifestage,인구통계학적 정보,생애 주기,Enum,선택,"""Single"", ""Married Without Child"", ""Married With Infant/Toddler"", ""Married With Young Children"", ""Married With Teenager"", ""Married With Child Over 18"", ""Single With Child"", ""Others"", ""Unknown""",결혼 상태 및 자녀 유무/연령을 기준으로 계정 주인의 현재 생애 주기를 추론합니다.,,
12,occupation,인구통계학적 정보,직업,Enum,선택,"""Full-time Content Creator/Influencer"", ""Digital Creative Professional"", ""Online Educator/Coach/Consultant"", ""Owner Of A Company With 20+ Employees"", ""Owner Of A Small Business"", ""Self Employed/Freelancer"", ""Executive/Senior Manager"", ""Company Employee"", ""Sales/Marketing Professional"", ""Healthcare Professional"", ""Education Professional"", ""Skilled Trades/Craftsperson"", ""Performing Artist/Entertainer"", ""Athlete/Fitness Professional"", ""Student"", ""Homemaker"", ""Retired"", ""Job Seeking/Between Jobs"", ""Multiple Occupations"", ""Others""",콘텐츠를 기반으로 계정 주인의 주된 직업 또는 고용 상태를 추론하여 가장 적합한 옵션을 선택합니다. 소셜미디어 환경에 맞게 디지털 크리에이터 및 온라인 전문직을 포함합니다.,,
13,physical_appearance_desc,인구통계학적 정보,외모 및 스타일 상세,LongText,선택,,"인플루언서의 외모, 체형, 스타일링을 객관적이고 솔직하게 상세 서술하여 광고주가 브랜드 이미지에 적합한 외모 조건으로 정확한 매칭을 할 수 있도록 합니다. 기존 구조화된 필드(gender, age_range, ethnic_category)를 보완하는 구체적이고 관찰 가능한 시각적 특징에 집중하며, 상업적 활용을 위해 솔직하고 현실적인 외모 평가를 포함합니다.","""This 32-year-old Korean woman has an average, approachable appearance that would suit everyday lifestyle brands rather than high-fashion campaigns. Standing approximately 158cm with a slightly overweight build, she carries extra weight around her midsection which she often conceals with loose-fitting tops. Her round face features small eyes behind glasses, a flat nose bridge, and a warm but unremarkable smile. While not conventionally beautiful, her genuine, friendly demeanor creates trustworthiness that resonates with middle-aged audiences. Her fashion sense is practical rather than stylish, favoring comfortable, affordable pieces from mainstream brands.""",
14,pets,행동 및 성향,반려동물 유무,Boolean,선택,"""true"", ""false""",계정 주인이 반려동물을 키우는지 여부를 판단합니다.,,
