필드번호,필드명,카테고리,한글명,데이터타입,필수여부,권장선택지,설명,예시,비고
1,beauty_interest_areas,뷰티 일반 특성,뷰티 관심 분야,Array[String],선택,"""Makeup"", ""Skincare"", ""K Beauty"", ""Clean Beauty"", ""Vegan Beauty"", ""Anti Aging"", ""Sun Care"", ""Hair Care"", ""Nail Care"", ""Fragrance""",뷰티 분야 내 세부 관심 영역을 추론하여 상세히 나열합니다.,,
2,beauty_brands,뷰티 일반 특성,뷰티 브랜드,Array[String],선택,,관심 있거나 사용하는 뷰티 브랜드를 최대한 추론해서 나열합니다.,,
3,beauty_content_types,뷰티 일반 특성,뷰티 콘텐츠 분류,Array[String],선택,"""Makeup Tutorial"", ""Product Review"", ""Skincare Routine"", ""GRWM"", ""Unboxing"", ""Before After"", ""Haul"", ""Look Recreation""","뷰티 관련 콘텐츠가 있을 경우, 해당 콘텐츠 유형을 나열합니다.",,
4,beauty_products,뷰티 일반 특성,뷰티 제품명,Array[String],선택,,사용하는 뷰티 제품의 구체적 제품명을 최대한 추론해서 상세하게 나열합니다.,,
5,makeup_interests,메이크업 특성,메이크업 관심사,Array[String],선택,"""Natural Makeup"", ""Glam Look"", ""Korean Beauty"", ""Vintage Style"", ""Bold Colors"", ""Minimal Makeup"", ""Editorial Style"", ""Everyday Look""",메이크업 스타일이나 트렌드에 대한 관심도를 추론하여 나열합니다.,,
6,makeup_hashtags,메이크업 특성,메이크업 관련 해시태그,Array[String],선택,,메이크업 관련 게시물에서 사용하는 해시태그를 최대한 추론해서 나열합니다.,,
7,makeup_points,메이크업 특성,메이크업 포인트,Array[String],선택,"""Glow"", ""Matte"", ""Natural"", ""Dewy"", ""Bold"", ""Subtle"", ""Contour"", ""Highlight""",메이크업에서 중요하게 생각하는 포인트나 추구하는 효과를 추론합니다.,,
8,makeup_items,메이크업 특성,메이크업 아이템,Array[String],선택,"""Foundation"", ""Concealer"", ""Lipstick"", ""Lip Tint"", ""Eyeshadow"", ""Mascara"", ""Blush"", ""Highlighter"", ""Bronzer"", ""Eyeliner""",관심 있거나 자주 사용하는 메이크업 아이템 카테고리를 추론하여 나열합니다.,,
9,makeup_color_preferences,메이크업 특성,메이크업 컬러 선호도,Array[String],선택,"""Cool Tones"", ""Warm Tones"", ""Neutral Tones"", ""Brown Family"", ""Pink Family"", ""Red Family"", ""Orange Family"", ""Coral Pinks"", ""Berry Reds"", ""Mauve Purples"", ""Terracotta Browns"", ""Bold Colors"", ""Subtle Colors""",메이크업에서 선호하는 컬러 계열이나 톤을 추론하여 나열합니다.,,
10,skincare_items,스킨케어 특성,스킨케어 아이템,Array[String],선택,"""Cleanser"", ""Toner"", ""Serum"", ""Moisturizer"", ""Sunscreen"", ""Face Mask"", ""Exfoliator"", ""Eye Cream"", ""Face Oil"", ""Essence""",관심 있거나 사용하는 스킨케어 제품 카테고리를 추론하여 나열합니다.,,
11,skin_concerns,스킨케어 특성,피부 고민,Array[String],선택,"""Acne"", ""Anti Aging"", ""Hydration"", ""Brightening"", ""Sensitive Skin"", ""Pore Care"", ""Dark Circles"", ""Pigmentation"", ""Oil Control""",주요 피부 고민이나 개선하고자 하는 피부 상태를 추론하여 나열합니다.,,
